"source_file","output_avif_file","original_file_size_bytes","avif_file_size_bytes","status","notes"
"assets/images/interiors/IMG_3660.HEIC","assets/images/interiors/living-room-coffee-table-01.avif","1503902","1140038","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/interiors/IMG_3661.heic","assets/images/interiors/record-player-01.avif","1940069","1111296","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/interiors/IMG_9572.heic","assets/images/interiors/decorative-chest-01.avif","2056299","1413309","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_0619.JPG","assets/images/tea-room/tea-ceremony-01.avif","13681201","3244372","converted_validated","Dimensions preserved at 6280×4984."
"assets/images/tea-room/IMG_0694.jpg","assets/images/tea-room/tea-pouring-detail-01.avif","1117855","590260","converted_validated","Dimensions preserved at 1207×1811."
"assets/images/tea-room/IMG_0695.jpg","assets/images/tea-room/tea-ceremony-02.avif","290967","107886","converted_validated","Dimensions preserved at 1209×806."
"assets/images/tea-room/IMG_0696.jpg","assets/images/tea-room/tea-table-setup-01.avif","413549","197726","converted_validated","Dimensions preserved at 1170×780."
"assets/images/tea-room/IMG_0697.jpg","assets/images/tea-room/tea-pouring-detail-02.avif","418506","198133","converted_validated","Dimensions preserved at 1195×797."
"assets/images/tea-room/IMG_0698.jpg","assets/images/tea-room/tea-host-pouring-01.avif","436988","202042","converted_validated","Dimensions preserved at 1211×807."
"assets/images/tea-room/IMG_0699.jpg","assets/images/tea-room/tea-cup-detail-01.avif","877134","445179","converted_validated","Dimensions preserved at 1101×1651."
"assets/images/tea-room/IMG_0700.jpg","assets/images/tea-room/tea-host-ceremony-01.avif","981315","490377","converted_validated","Dimensions preserved at 1176×1764."
"assets/images/tea-room/IMG_3555.heic","assets/images/tea-room/white-tea-set-01.avif","703021","325704","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9567.heic","assets/images/tea-room/tea-table-seating-01.avif","1279144","981057","converted_validated","Dimensions preserved at 4032×3024."
"assets/images/tea-room/IMG_9568.heic","assets/images/tea-room/room-wide-01.avif","2711332","1991666","converted_validated","Dimensions preserved at 4284×5712."
"assets/images/tea-room/IMG_9569.heic","assets/images/tea-room/room-wide-02.avif","3505312","2780088","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/tea-room/IMG_9570.heic","assets/images/tea-room/teaware-display-room-01.avif","3540713","2833396","converted_validated","Dimensions preserved at 5712×4284."
"assets/images/tea-room/IMG_9571.heic","assets/images/tea-room/tea-table-garden-view-01.avif","2205225","1539201","converted_validated","Dimensions preserved at 4284×5712."
